item_id;pedido_id;produto_id;produto;categoria;fornecedor_id;fornecedor;quantidade;valor_unitario_tabela;desconto_pct;valor_pago_unitario;valor_pago_total
267;157;2;Teclado Membrana ABNT2;Periféricos;1;TechDistribuidora Brasil;1;89.9;0.05;85.41;85.41
268;157;25;Roteador Wi-Fi AC1200;Rede;6;Connect Rede;3;249.9;0;249.9;749.7
269;158;1;Mouse Óptico USB;Periféricos;1;TechDistribuidora Brasil;1;49.9;0.03;48.4;48.4
270;158;27;Placa de Rede PCIe;Rede;6;Connect Rede;2;79.9;0;79.9;159.8
271;158;8;Suporte Articulado para Monitor;Acessórios;7;OfficeTech Supply;1;149.9;0.05;142.41;142.41
272;159;5;Mousepad Grande;Acessórios;3;Prime Eletrônicos;1;39.9;0;39.9;39.9
273;159;8;Suporte Articulado para Monitor;Acessórios;7;OfficeTech Supply;2;149.9;0.05;142.41;284.82
274;159;3;Headset Gamer P2;Periféricos;5;FastHardware;1;159.9;0.12;140.71;140.71
275;160;22;Notebook Intel i3 8GB;Notebooks;4;InfoMax Atacado;1;2399.9;0.12;2111.91;2111.91
276;160;6;Cabo HDMI 2m;Acessórios;3;Prime Eletrônicos;2;29.9;0.05;28.4;56.8
277;160;10;SSD 480GB SATA;Armazenamento;2;Mega Componentes;3;259.9;0.12;228.71;686.13
278;160;8;Suporte Articulado para Monitor;Acessórios;7;OfficeTech Supply;1;149.9;0.05;142.41;142.41
279;161;18;Cooler para Processador;Componentes;2;Mega Componentes;1;99.9;0;99.9;99.9
280;161;19;"Monitor LED 21.5""";Monitores;8;Brasil Monitores;1;679.9;0.05;645.9;645.9
281;161;28;Repetidor Wi-Fi;Rede;6;Connect Rede;1;139.9;0.03;135.7;135.7
282;162;11;SSD NVMe 500GB;Armazenamento;5;FastHardware;1;329.9;0.1;296.91;296.91
283;162;4;Webcam Full HD;Periféricos;3;Prime Eletrônicos;1;199.9;0;199.9;199.9
284;162;29;Impressora Multifuncional;Office;7;OfficeTech Supply;2;699.9;0.1;629.91;1259.82
285;162;27;Placa de Rede PCIe;Rede;6;Connect Rede;2;79.9;0;79.9;159.8
286;163;3;Headset Gamer P2;Periféricos;5;FastHardware;1;159.9;0;159.9;159.9
287;163;2;Teclado Membrana ABNT2;Periféricos;1;TechDistribuidora Brasil;3;89.9;0.05;85.41;256.23
288;164;14;Memória RAM 16GB DDR4;Componentes;2;Mega Componentes;2;319.9;0.1;287.91;575.82
289;164;3;Headset Gamer P2;Periféricos;5;FastHardware;3;159.9;0;159.9;479.7
290;164;28;Repetidor Wi-Fi;Rede;6;Connect Rede;3;139.9;0.1;125.91;377.73
291;164;16;Placa de Vídeo GTX 1650;Componentes;5;FastHardware;1;949.9;0.03;921.4;921.4
292;165;11;SSD NVMe 500GB;Armazenamento;5;FastHardware;1;329.9;0.08;303.51;303.51
293;166;18;Cooler para Processador;Componentes;2;Mega Componentes;2;99.9;0.05;94.91;189.82
294;166;6;Cabo HDMI 2m;Acessórios;3;Prime Eletrônicos;1;29.9;0;29.9;29.9
295;167;9;SSD 240GB SATA;Armazenamento;2;Mega Componentes;2;169.9;0;169.9;339.8
296;167;6;Cabo HDMI 2m;Acessórios;3;Prime Eletrônicos;1;29.9;0.1;26.91;26.91
297;167;10;SSD 480GB SATA;Armazenamento;2;Mega Componentes;1;259.9;0;259.9;259.9
298;168;28;Repetidor Wi-Fi;Rede;6;Connect Rede;1;139.9;0.05;132.91;132.91
299;169;2;Teclado Membrana ABNT2;Periféricos;1;TechDistribuidora Brasil;1;89.9;0;89.9;89.9
300;170;10;SSD 480GB SATA;Armazenamento;2;Mega Componentes;1;259.9;0;259.9;259.9
301;171;5;Mousepad Grande;Acessórios;3;Prime Eletrônicos;2;39.9;0;39.9;79.8
302;172;7;Adaptador USB-C HDMI;Acessórios;3;Prime Eletrônicos;2;119.9;0;119.9;239.8
303;173;6;Cabo HDMI 2m;Acessórios;3;Prime Eletrônicos;3;29.9;0;29.9;89.7
304;174;11;SSD NVMe 500GB;Armazenamento;5;FastHardware;1;329.9;0.1;296.91;296.91
305;174;5;Mousepad Grande;Acessórios;3;Prime Eletrônicos;1;39.9;0.1;35.91;35.91
306;174;7;Adaptador USB-C HDMI;Acessórios;3;Prime Eletrônicos;1;119.9;0;119.9;119.9
307;175;29;Impressora Multifuncional;Office;7;OfficeTech Supply;2;699.9;0.1;629.91;1259.82
308;176;10;SSD 480GB SATA;Armazenamento;2;Mega Componentes;1;259.9;0.05;246.9;246.9
309;176;26;Switch 8 Portas Gigabit;Rede;6;Connect Rede;1;189.9;0;189.9;189.9
310;177;28;Repetidor Wi-Fi;Rede;6;Connect Rede;1;139.9;0;139.9;139.9
311;177;27;Placa de Rede PCIe;Rede;6;Connect Rede;1;79.9;0;79.9;79.9
312;178;15;Fonte 500W 80 Plus;Componentes;5;FastHardware;1;289.9;0;289.9;289.9
313;178;7;Adaptador USB-C HDMI;Acessórios;3;Prime Eletrônicos;3;119.9;0;119.9;359.7
314;179;2;Teclado Membrana ABNT2;Periféricos;1;TechDistribuidora Brasil;1;89.9;0;89.9;89.9
315;179;26;Switch 8 Portas Gigabit;Rede;6;Connect Rede;1;189.9;0.08;174.71;174.71
316;180;6;Cabo HDMI 2m;Acessórios;3;Prime Eletrônicos;2;29.9;0;29.9;59.8
317;180;1;Mouse Óptico USB;Periféricos;1;TechDistribuidora Brasil;2;49.9;0;49.9;99.8
318;181;27;Placa de Rede PCIe;Rede;6;Connect Rede;1;79.9;0;79.9;79.9
319;182;28;Repetidor Wi-Fi;Rede;6;Connect Rede;2;139.9;0;139.9;279.8
320;183;11;SSD NVMe 500GB;Armazenamento;5;FastHardware;1;329.9;0;329.9;329.9
321;184;28;Repetidor Wi-Fi;Rede;6;Connect Rede;2;139.9;0;139.9;279.8
322;184;15;Fonte 500W 80 Plus;Componentes;5;FastHardware;2;289.9;0.08;266.71;533.42
323;184;8;Suporte Articulado para Monitor;Acessórios;7;OfficeTech Supply;2;149.9;0;149.9;299.8
324;185;7;Adaptador USB-C HDMI;Acessórios;3;Prime Eletrônicos;1;119.9;0.12;105.51;105.51
325;185;2;Teclado Membrana ABNT2;Periféricos;1;TechDistribuidora Brasil;1;89.9;0.08;82.71;82.71
326;185;9;SSD 240GB SATA;Armazenamento;2;Mega Componentes;1;169.9;0.05;161.41;161.41
327;186;9;SSD 240GB SATA;Armazenamento;2;Mega Componentes;1;169.9;0;169.9;169.9
328;187;5;Mousepad Grande;Acessórios;3;Prime Eletrônicos;2;39.9;0.03;38.7;77.4
329;187;7;Adaptador USB-C HDMI;Acessórios;3;Prime Eletrônicos;3;119.9;0.08;110.31;330.93
330;187;1;Mouse Óptico USB;Periféricos;1;TechDistribuidora Brasil;2;49.9;0;49.9;99.8
331;187;17;Processador Ryzen 5;Componentes;5;FastHardware;1;799.9;0;799.9;799.9
332;188;27;Placa de Rede PCIe;Rede;6;Connect Rede;2;79.9;0;79.9;159.8
333;188;28;Repetidor Wi-Fi;Rede;6;Connect Rede;1;139.9;0;139.9;139.9
334;189;12;HD Externo 1TB;Armazenamento;4;InfoMax Atacado;1;369.9;0.08;340.31;340.31
335;189;28;Repetidor Wi-Fi;Rede;6;Connect Rede;1;139.9;0;139.9;139.9
336;189;1;Mouse Óptico USB;Periféricos;1;TechDistribuidora Brasil;1;49.9;0.03;48.4;48.4
337;190;26;Switch 8 Portas Gigabit;Rede;6;Connect Rede;1;189.9;0;189.9;189.9
338;191;19;"Monitor LED 21.5""";Monitores;8;Brasil Monitores;1;679.9;0.1;611.91;611.91
339;192;18;Cooler para Processador;Componentes;2;Mega Componentes;1;99.9;0.08;91.91;91.91
340;192;28;Repetidor Wi-Fi;Rede;6;Connect Rede;1;139.9;0;139.9;139.9
341;193;26;Switch 8 Portas Gigabit;Rede;6;Connect Rede;2;189.9;0.12;167.11;334.22
342;194;18;Cooler para Processador;Componentes;2;Mega Componentes;1;99.9;0.03;96.9;96.9
343;194;3;Headset Gamer P2;Periféricos;5;FastHardware;1;159.9;0.05;151.91;151.91
344;195;5;Mousepad Grande;Acessórios;3;Prime Eletrônicos;2;39.9;0;39.9;79.8
345;195;10;SSD 480GB SATA;Armazenamento;2;Mega Componentes;1;259.9;0.05;246.9;246.9
346;195;1;Mouse Óptico USB;Periféricos;1;TechDistribuidora Brasil;1;49.9;0;49.9;49.9
347;196;13;Memória RAM 8GB DDR4;Componentes;2;Mega Componentes;1;179.9;0.03;174.5;174.5
348;196;16;Placa de Vídeo GTX 1650;Componentes;5;FastHardware;2;949.9;0.08;873.91;1747.82
349;197;5;Mousepad Grande;Acessórios;3;Prime Eletrônicos;1;39.9;0.03;38.7;38.7
350;197;1;Mouse Óptico USB;Periféricos;1;TechDistribuidora Brasil;1;49.9;0.1;44.91;44.91
351;198;2;Teclado Membrana ABNT2;Periféricos;1;TechDistribuidora Brasil;1;89.9;0;89.9;89.9
352;198;5;Mousepad Grande;Acessórios;3;Prime Eletrônicos;3;39.9;0;39.9;119.7
353;199;27;Placa de Rede PCIe;Rede;6;Connect Rede;1;79.9;0;79.9;79.9
354;199;1;Mouse Óptico USB;Periféricos;1;TechDistribuidora Brasil;1;49.9;0;49.9;49.9
355;199;3;Headset Gamer P2;Periféricos;5;FastHardware;2;159.9;0.05;151.91;303.82
356;200;25;Roteador Wi-Fi AC1200;Rede;6;Connect Rede;2;249.9;0.05;237.41;474.82
357;200;2;Teclado Membrana ABNT2;Periféricos;1;TechDistribuidora Brasil;1;89.9;0;89.9;89.9
358;201;27;Placa de Rede PCIe;Rede;6;Connect Rede;2;79.9;0.03;77.5;155.0
359;201;18;Cooler para Processador;Componentes;2;Mega Componentes;2;99.9;0.05;94.91;189.82
360;201;8;Suporte Articulado para Monitor;Acessórios;7;OfficeTech Supply;1;149.9;0.1;134.91;134.91
361;202;16;Placa de Vídeo GTX 1650;Componentes;5;FastHardware;1;949.9;0.12;835.91;835.91
362;202;2;Teclado Membrana ABNT2;Periféricos;1;TechDistribuidora Brasil;1;89.9;0.03;87.2;87.2
363;203;9;SSD 240GB SATA;Armazenamento;2;Mega Componentes;1;169.9;0.03;164.8;164.8
364;204;8;Suporte Articulado para Monitor;Acessórios;7;OfficeTech Supply;2;149.9;0.05;142.41;284.82
365;205;10;SSD 480GB SATA;Armazenamento;2;Mega Componentes;1;259.9;0.08;239.11;239.11
366;206;28;Repetidor Wi-Fi;Rede;6;Connect Rede;1;139.9;0.05;132.91;132.91
367;206;6;Cabo HDMI 2m;Acessórios;3;Prime Eletrônicos;1;29.9;0.05;28.4;28.4
368;207;13;Memória RAM 8GB DDR4;Componentes;2;Mega Componentes;1;179.9;0.08;165.51;165.51
369;208;13;Memória RAM 8GB DDR4;Componentes;2;Mega Componentes;2;179.9;0;179.9;359.8
370;209;15;Fonte 500W 80 Plus;Componentes;5;FastHardware;2;289.9;0.03;281.2;562.4
371;209;2;Teclado Membrana ABNT2;Periféricos;1;TechDistribuidora Brasil;1;89.9;0.03;87.2;87.2
372;210;3;Headset Gamer P2;Periféricos;5;FastHardware;2;159.9;0.05;151.91;303.82
373;210;11;SSD NVMe 500GB;Armazenamento;5;FastHardware;1;329.9;0.1;296.91;296.91
374;210;18;Cooler para Processador;Componentes;2;Mega Componentes;3;99.9;0;99.9;299.7
375;211;27;Placa de Rede PCIe;Rede;6;Connect Rede;1;79.9;0;79.9;79.9
376;211;9;SSD 240GB SATA;Armazenamento;2;Mega Componentes;1;169.9;0.05;161.41;161.41
377;212;28;Repetidor Wi-Fi;Rede;6;Connect Rede;1;139.9;0.03;135.7;135.7
378;212;14;Memória RAM 16GB DDR4;Componentes;2;Mega Componentes;1;319.9;0;319.9;319.9
379;213;27;Placa de Rede PCIe;Rede;6;Connect Rede;2;79.9;0.12;70.31;140.62
380;213;7;Adaptador USB-C HDMI;Acessórios;3;Prime Eletrônicos;2;119.9;0;119.9;239.8
381;214;18;Cooler para Processador;Componentes;2;Mega Componentes;2;99.9;0.05;94.91;189.82
382;215;25;Roteador Wi-Fi AC1200;Rede;6;Connect Rede;3;249.9;0;249.9;749.7
383;215;16;Placa de Vídeo GTX 1650;Componentes;5;FastHardware;2;949.9;0;949.9;1899.8
384;216;26;Switch 8 Portas Gigabit;Rede;6;Connect Rede;1;189.9;0.05;180.41;180.41
385;216;27;Placa de Rede PCIe;Rede;6;Connect Rede;1;79.9;0;79.9;79.9
386;216;17;Processador Ryzen 5;Componentes;5;FastHardware;1;799.9;0;799.9;799.9
387;217;3;Headset Gamer P2;Periféricos;5;FastHardware;3;159.9;0.03;155.1;465.3
388;218;14;Memória RAM 16GB DDR4;Componentes;2;Mega Componentes;1;319.9;0.03;310.3;310.3
389;218;9;SSD 240GB SATA;Armazenamento;2;Mega Componentes;1;169.9;0.03;164.8;164.8
390;219;14;Memória RAM 16GB DDR4;Componentes;2;Mega Componentes;1;319.9;0;319.9;319.9
391;219;6;Cabo HDMI 2m;Acessórios;3;Prime Eletrônicos;1;29.9;0;29.9;29.9
392;219;5;Mousepad Grande;Acessórios;3;Prime Eletrônicos;2;39.9;0.1;35.91;71.82
393;220;6;Cabo HDMI 2m;Acessórios;3;Prime Eletrônicos;1;29.9;0.08;27.51;27.51
394;220;27;Placa de Rede PCIe;Rede;6;Connect Rede;1;79.9;0;79.9;79.9
